start	end	text
7700	21620	I will say everything once again. The main purpose of my discussion was that monthly income...
26480	29420	I mean, first of all, I said that the values here should already be met.
30000	31680	I mean, I was looking at this tool.
32400	39940	Then I felt that we had such a discussion on civility or on property.
42100	43960	What is in my mind?
44040	52860	Actually, if I am thinking about home loans and I am trying to find the best deals...
52860	58420	Actually, I don't want you to tell me what the best parameters should be.
59590	65260	If you tell me that I will get a loan of Rs. 750,000, I will give it to you in six months.
65460	67520	I will take a small loan and it will be perfect.
67920	72200	I will find a credit agency that will let me increase my credit score.
72660	79440	If you tell me that salary is more than self-employed, then I will remove my pay slip.
79440	84100	I have been doing this for six months.
86160	88820	You told me that 30 years of age is not good.
89680	91880	My wife is 28 years old.
92000	92880	I will take her name.
94260	99240	I don't want to have a loan that is perfect for me.
99500	106240	I want you to save Rs. 400,000 even if you have a high civil score.
107400	112120	If you have taken your wife's name, then you have saved Rs. 400,000.
