start	end	text
60920	73020	Overall, I feel that Shroffin's language is such that we are not responsible.
75400	79380	But everyone is like this. Can we do something different?
80500	87120	We can tell them that we are not really responsible because we are third party.
87380	89340	But we try a lot.
89340	92040	We try to work within your maximum benefit.
96180	98340	It's like... Shroffin...
98880	102180	We do not approve sanction underwrite or disbursed language.
102820	106400	Shroffin is not a bank, NBFC or letter.
109220	119160	We are a platform that standardizes third party offerings into views that are easy for customers to comprehend.
120600	124180	We do not approve sanction underwrite or disbursed loans.
124960	134780	But what we try is we try our best from all the data we have and from all the interactions we get on what it might look like for the customer.
136500	139360	How banks will disbursed loans for the customer.
139980	142440	How banks will underwrite loans for the customer.
142640	146640	We try our best to understand, to guide you in this financial...
146640	149540	We are not taking responsibility.
149800	153500	But we are telling them that we try our best to take the responsibility.
154200	156380	But ultimately it's in your hands.
158000	160620	Sometimes we say that we are very smart.
161120	162180	Sometimes we say that we are very smart.
162180	163980	Sometimes we say that we are very smart.
166300	174540	Basically, the entire vibe given by the website so far is how we are there for the customers.
174540	179520	An entire vibe given by the disclaimer is how we are not responsible for anything.
180680	187580	So what I feel the vibe should be from the disclaimer is that although we are not responsible for anything,
188020	196440	we genuinely feel it is in our responsibility to be true to our customer, to be honest to our customer, to work in the best interest of the customer.
197140	201820	The language shouldn't feel like legally doing away with obligations.
202640	205360	We are not responsible, we are not responsible.
206220	211220	The language should feel like although legally we are not responsible,
212200	217240	we try our best to make it so that you have the best way possible dealing with them.
217460	220980	It is like as if you are dealing with a good lawyer.
221440	227140	Lawyer is not responsible for what case or judge will decide.
227140	232820	But a good lawyer is there by your side to guide you through that entire journey.
233040	236240	Of course, he does not assume the responsibility of the decision, of the judgement.
237700	241360	But a good lawyer inspires confidence in you.
247760	252320	Even if you don't understand, we have to put our words into it.
252320	253900	That's what you said.
259100	264660	We have to always be AI compatible.
266100	271440	AI native means we are also AI native. Everything we do is AI native.
275860	277580	It's like agent is you.
277580	279320	He is listening.
282500	286000	An agent means we understand our emotions.
292440	295460	Or we need to have a camera.
300390	302800	That is truly AI native.
303580	305380	You become AI native.
306220	309660	Your life is compatible with an agent.
317860	320380	Home run done. Time for a home page done.
