start	end	text
3320	4860	Just give me 9 minutes.
5660	6220	9 minutes?
14600	15980	So, in this section,
16880	17720	I found the problem
17720	19000	that when you scroll up,
19940	20840	you can see both the zeroes.
21960	23840	And you don't know if the website is broken
23840	24460	or not.
25220	26380	So, if you have seen one zero,
27340	28440	or if you have seen the first zero,
28940	31720	zero commissions, and then the next zero
31720	32740	and zero bias,
33240	34480	and then the next sentence,
34900	37580	that would be better. Or if there is
37580	39640	nothing to show, you can explore.
40760	41380	Somewhere,
41640	42200	when I read the word commissions,
43140	43780	I feel,
45720	47420	instantly as a consumer,
48020	49580	I don't know which commission
49580	50440	I am talking about.
51120	52520	I am talking about the commission
52520	55800	that is taken from me. Which commission is this?
56020	57680	But okay, when I thought,
57880	59420	okay, the website
59420	61240	that is taken from the bank is talking about commission.
62380	63100	But okay.
63640	65500	Now, the website that is taken from the bank,
65500	67140	this is the context that I am going to
67140	69500	cover. And I am saying, zero bias.
70080	70160	So, which is the bias
70160	71720	that is taken from the website and the bank?
73380	75260	Then I feel, no, no, zero bias
75260	77060	means, this is not going to
77060	77500	push any bank.
79340	81380	So, I have to switch
82300	85860	What does this do? It doesn't make it easy
85860	86020	to understand.
87580	89300	Somewhere, it should be said
89300	91180	that either
91180	92840	this whole section is
92840	94780	about website and bank,
95740	96960	or this whole section is about
96960	98240	website and customer.
99040	100140	It should not be mixed
100140	101540	in the context.
104580	104800	So, there are
104800	106920	two things. So, you get a fair
106920	109040	view of every lender listed on a platform
109040	110500	with non-ranked or pushed
110500	113220	of another. So, we have to say
116300	116980	that
120140	120820	we
120820	121160	don't take commission
121160	124680	or we don't take any money
124680	125200	from the bank.
125900	127740	So, we don't have any bias
127740	129520	to push the bank forward.
130560	131940	The ranking we have
131940	133320	is actually
133320	134680	the ranking of customer benefit.
136440	137700	The ranking is such that
137700	138660	the bank is the one
138660	140100	that gets the most benefit
140100	140700	from the customer.
143020	145560	And no one can change our ranking
145680	147180	and give us money.
149180	149880	In the last
149880	151640	sentence, we have to say this.
151940	153800	But what I feel
153800	155520	is that every lender
155520	157080	listed on a platform
157880	159560	might have better wording.
160520	162060	So, something like you get a
162060	163780	fair view of all lenders
163780	165460	in the market,
171100	171460	ranked
174650	175370	fairly.
179030	180030	Or basically
180030	181110	this sentence,
181390	183390	the size of this sentence is very small.
185810	187730	So, what we have to say is
187730	189710	that fair view of every lender
191210	191890	and
191890	192990	no one's ranking
193790	195690	has been changed or no one has been
195690	196530	pushed forward.
196970	199730	That means no one has been pushed forward.
200950	202550	So, fair view
202550	203570	of lenders
203570	205170	and no one has been pushed forward.
206010	206610	There is such a gist.
207730	208970	At least in Shraddhan,
209450	210970	in polished English, we have to
210970	211610	convey this gist.
211610	213710	We have to convey this.
215580	216920	We have used polished English.
218200	219520	Normal users will understand.
220080	221060	Yes, polished English
221060	221580	means
221580	223700	we have to understand it
225010	227100	but something like
227100	230260	96% or 98% conversation
230260	231000	can be done
231000	232520	in just 300 words
233360	234360	in English.
235620	237200	We don't have to use
237200	238580	those big words.
240620	242220	We have to understand
246810	248870	Best of all, you can look
248870	250270	through everything at your pace
250270	253390	without spam calls, hard sell or push notifications.
254590	254610	So,
255210	256210	I want to ask you
256210	257970	what is the significance of these three things?
258590	259790	What is the difference between these three things?
260110	262690	Spam call, hard sell. How is hard sell different?
262710	263150	Hard sell.
266330	267650	You didn't send the documents.
270770	272770	You didn't send the documents.
272910	273650	You didn't send the documents.
273650	275250	They are hard sell.
275810	276850	Push notifications
277370	278190	means on WhatsApp
280370	281670	it is pre-uploaded
285590	286290	Spam calls
286290	291210	are unnecessary calls.
293450	295010	Spam call and hard sell
295010	296290	are a bit intersected.
297270	298610	Spam call is basically
298610	299510	where we sell our data
299510	301330	and those people
301330	302530	call them.
316570	317590	Basically,
318030	322070	what we have to say from this section
325020	326650	is that we don't make any
326650	327350	urgency
328650	329670	for any thing.
330350	331570	We will bring you everything
331570	333990	and you can do things at your pace.
338170	339250	You won't get unnecessary calls
339250	340980	or you won't have to
341170	341710	sell anything.
342490	344170	We won't send you notifications
344170	346010	asking you to buy or sell.
348330	350350	We will bring you everything
350350	351990	and you can do it at your pace.
356700	357320	Now,
358760	360980	I have a concern
360980	361600	that
361600	362400	these four sections
362780	363820	do we need
363820	365280	these four sections?
367840	369620	Can we
369620	370260	trim some of these sections?
371780	372260	Now,
372880	374320	this section
375280	376020	basically,
376260	379480	so many people
379480	381240	have read this text.
381360	383140	In some forms,
383140	384100	if we can show
384100	386800	this journey of
388710	390700	we completely re-engineered
390700	391920	this home-run journey.
392620	393540	We have to keep a title
393540	395840	and in that part, we have to show
395840	396580	three sections.
397360	398860	In one section,
399040	400740	the market is such that
