start	end	text
4090	6090	Sibyl score...
12650	14250	See, what is the problem with a Sibyl score?
17170	21230	You are forcing me to tell the exact score.
22610	22950	Ok.
23510	24490	Means, it should be more approximate?
24950	28210	No. Here, we need a drop down.
28690	30430	750 to 780.
32390	32810	Means...
34010	35650	730 to 750.
35950	36970	You remove the windows.
38030	38670	Ok.
38670	41610	But it should be like that.
42750	43390	Because...
43390	44670	What happens is...
46290	46930	Means...
46930	48970	I feel that...
48970	50070	I need to know the exact score.
50790	53050	Plus, I feel that we need to throw a little.
54390	54890	Yes.
54890	56750	If I have 759...
57770	58410	Means...
58410	60250	I have 780, you can tell me.
60990	61730	No problem.
62050	62850	But it changes in those 10 ranges.
64130	64810	10 ranges?
65270	66150	Then you put it in 10 pieces.
66690	67850	No, no. I don't know.
67850	69850	Let's see the second one.
71250	72110	And I don't want to do average.
72770	74190	No, the ones that are in their mind.
76070	76750	Means...
76750	77770	These are there.
77910	78850	Average, high.
79090	80250	Already, they are there.
80370	82310	So, 700 plus is excellent.
83370	84570	They are already there.
84730	84870	Yes.
86890	88670	Means, they take the windows.
89230	90210	There will not be an accurate rate.
90870	91910	They don't change in 10 points.
92990	95070	Yes. But everyone's windows are regular.
95970	97010	Then break it with 55.
98410	99610	Yes, yes.
99810	101450	Then the list gets bigger.
101650	103770	GCF. Yes, yes, yes.
107800	108420	Then what is it?
108560	109480	With 55...
109480	110500	With 55, you get a lot of smoke.
111080	113160	And if you do 10 with 55...
113160	115060	Then what rate do you want to take out of 10?
116880	117480	Because...
117480	119500	Ok, you suppose...
121460	122560	900 top score.
122580	123120	Do you know what I mean?
123840	125020	It becomes critical.
125960	127020	Then can you give an approximate?
130800	132180	Not approximate, bro.
133340	134020	Because...
134020	136040	I don't have any approximate here.
136380	136740	You want it accurate?
137660	137900	Yes.
138280	139360	Means, you...
139360	140280	Now you will say approximate.
141060	142620	And then you will put a star on the bottom.
142980	144880	That actually you will get the result of your invalid.
146600	148300	Then why are you throwing it to me?
151000	151680	Not approximate.
152220	152560	Ok.
152560	153940	But this...
153940	155980	First of all, everyone knows the exact score.
160180	160980	And...
160980	162900	And then what I feel...
162900	165180	Bro, every point will be consequential.
166180	167920	Yes, then let's see it clearly.
168880	170560	Yes, let's see it clearly or...
187430	188870	I feel that...
189790	190770	I mean...
190770	191950	I have 776 also.
192670	193630	Show me the offer of 780
193630	196290	and I will negotiate with the offeror.
201080	204040	So you tell them that there is not much of a consequence.
206860	208400	Ten windows work here and there.
209180	210180	You have to give me an assurance.
212080	213080	That bro, ten goes ahead.
214780	215720	Same here.
215980	216800	Don't throw so much.
217300	219640	You have to throw 776 or 778.
220620	222400	But the rates change with the banks.
223050	225540	Even if two banks are new, they will have to wait for ten minutes.
228400	228920	Yes.
229520	230820	But which bank...
230820	232220	Where is the breakout?
232860	235980	Suppose one bank says 800 to 810.
236240	240120	Then one bank says 850 to 812.
241600	242160	They say so.
242400	243300	They don't do it in parallel.
244240	245720	Everyone has 810 or 810.
246640	248060	Not everyone.
248060	254620	What does it mean?
255280	255500	What does it mean?
267000	268220	Minimum Sibyl Score.
269280	269440	What does it mean?
272480	274080	What is the main thing?
274180	275760	You don't want to put the exact.
276060	277220	That is the main concern.
278660	283780	The main thing is that I feel that
283780	285000	I will change a lot in one or two points.
286780	289100	He is changing in real life.
294600	295540	Thinking.
295820	296560	What is the main thing?
297060	297820	What is the problem?
298680	300480	Once I actually have to go.
328490	330840	I feel that I will increase the loan interest.
333600	335480	And hopefully.
337680	338320	How much do you want?
339500	340900	This is what I feel.
340900	342100	If I have 750.
343340	345260	But I feel that
345260	346100	How much do you want?
346520	346940	Tell me.
347940	349580	Then I will take it.
351240	352920	Tell him not to give so much stress.
356400	357340	I don't know so many 5-10 points.
359540	360680	But I fall down a lot.
379520	380880	At least.
380880	381560	What is my score?
382900	384320	You are putting the minimum out.
388380	390960	I know that these offers are relevant.
391540	393560	If I increase the score, it will be better.
397060	398240	No mean.
398420	399200	Civil score.
399720	403160	But no.
403760	405920	Civil score is the same.
406160	407540	Where do I get the minimum?
407540	409140	What is my minimum score?
410700	411980	There is no difference in the approximate.
412660	412980	No.
413260	414420	What is the approximate?
416680	418700	Then the lower results are also approximate.
428840	431620	Suppose I have 766.
435400	436700	Now you have given me 500.
437960	439560	Then I know that
439560	440740	1-2 points are ahead.
440740	442680	I don't remember my score.
443260	444620	But it was average.
445520	446800	1-2 points are ahead.
447080	447820	Then let it go.
448580	450180	But you always say that
450180	451680	one point should not be perfect.
456560	458740	When a person puts 766,
460340	462540	then the drop downs are open.
463020	463840	When he puts 7,
465320	468060	then the next 5-5 drop downs of 7
468060	468280	are open.
468280	469560	And then it keeps decreasing.
471340	473200	There are such searches on Amazon.
474160	474880	If you put a football,
475260	476720	the football is 24 inches.
478060	479400	In the next HS selection,
479920	480900	all such things are selected.
484980	486420	And here we
486420	487600	give a range
487940	488900	but do not give a drop down.
489780	490100	Where?
492140	492880	Like now,
493120	494680	if you put 766,
494680	496140	then the bottom is open.
496940	497940	But the person who has seen it before
497940	499980	will think that you should put it in action.
500680	502060	But you should not put it in action.
502180	503260	How do you tell him?
503700	504680	You have to select it in the drop down.
505860	507680	For that, you have to tell him
507680	509020	that you have to write it.
509260	510600	You have to write the range.
511240	513500	But you should not give him a drop down option.
515400	517140	Either he should select the drop down.
517500	518680	Yes, yes, yes.
519700	520900	Or it should be very big.
521320	523400	Yes, yes, yes.
523400	525840	Here you should not give him a drop down option.
526260	527280	But you have to tell him that
527280	528060	this is a window.
528380	530000	Yes, it is a window. If you type it,
530380	531200	the window will not open.
531540	533080	Like it is normally done in Amazon.
533940	534980	When you type F, it freezes.
