start	end	text
40060	43020	No, this is definitely good information.
45780	50520	I don't want to have a super housing loan.
51060	52020	What is your scheme?
53560	55200	There is no answer in the bank of Maharashtra.
56400	59120	So, I can tell the manager that this is your scheme.
59480	60480	I don't want to have a super housing loan.
60480	61480	I don't want that.
62180	67080	Or, if someone thinks that my loan is under some scheme,
68120	68860	then they won't get the information.
72800	78320	If the customer doesn't know, then they will get the information.
78320	79880	Any other information?
85990	87090	It is very important.
87510	90010	There is a scheme under the name of Maharashtra Bank of Maharashtra.
90010	96170	There is a scheme under the name of Maharashtra Bank of Maharashtra.
96170	97470	Any other information?
118240	123140	Just think about a better way to show the money.
123660	125080	This is the best way.
127620	129480	But, the draw points are good.
136710	139570	But, this is the static information.
141530	144430	How do other banks do it?
144730	150510	They put a page in each of the other banks.
151210	153130	We will talk about that page.
153590	154610	But, not as a blog.
156290	157010	It is an information.
160420	161680	But, it should be out there.
162080	163020	It should be in the product.
188170	189050	More details.
190110	190490	It is good.
191650	193350	It is good.
193350	194530	It is not important.
195110	199550	But, it should be in the product.
199990	201170	It should be in the same product.
203650	207370	The bank of Maharashtra didn't underline it.
208170	210210	They put a clip in it.
210870	211890	Then, it got blocked.
214670	219650	I am told that there is more important information.
220650	223770	But, I am told that it is the same information.
226110	227570	It is not important information.
227890	230690	I am told that you should see this too.
232490	234650	ADD.info
234650	236950	ADD.info
237650	239250	It should not be big.
239990	240890	It should not be on the phone.
240990	242510	Column should not be big.
244130	249370	You have to put the plus sign.
250310	252990	How to guess underline?
253990	254450	There is something.
254810	259510	If you put it on a loan amount, it will give you more calculations.
259990	260650	It will give you more calculations.
261310	265050	If you put it under the bank of Maharashtra, it will give you more calculations.
266290	267170	If you put it under the bank of Maharashtra, it will give you more calculations.
267170	268310	It should not be a big deal.
268310	270670	I think it is important information.
272670	275930	This is the dump of all information.
285510	286690	It is clickable.
288090	288790	It is the same.
297980	303920	Generally, when people are told what is inside, they click it.
303920	305100	Click it.
307500	311440	If you want to know more about it, click it.
314120	317700	If you want to know more about it, click it.
318120	322240	If you want to know more about the bank of Maharashtra, click it.
326330	331730	But if you take the super housing loan, I think you should know more about the loan.
331730	334270	If you take the super housing loan, you will get to know more about it.
337270	338450	It is a little misleading.
339110	340510	I think it is important information.
342430	344590	It is not important information.
348450	349630	It is not standard.
354130	356150	Earlier, we used to write a solenoid.
356290	359950	We used to write more details.
359950	363290	It is more and more.
363650	365390	If you write something, it is more.
387560	388800	What is this?
389360	390600	What is this?
392960	395360	This is the thing.
401610	402610	This is the thing.
402830	403510	What is this?
422230	423990	It is good.
424490	425890	It is definitely good.
428790	432090	You just have to follow 1, 2, 3, 4, 5.
438720	440040	What is this?
440720	442900	You took 48 lakhs.
446160	449720	You took 55,000.
449760	450480	What is this?
450480	452560	You didn't take it.
453080	455380	This information is great.
456980	458520	You took credit card.
460260	462640	If you took credit card, it would have been 10 lakhs.
466490	468330	And then 1 lakh.
470250	471750	Then 1 lakh.
473590	474510	Okay.
475210	475670	Okay.
481970	484430	We calculate and calculate the loan amount.
486330	487450	And the interest is lowered.
488990	490590	2.40 months.
490770	491610	Where is 2.40 months?
492090	493630	20 years.
495510	496210	This is 9 months.
504320	506140	Yes, this is 20 years.
509040	510820	This is my eligibility.
511520	513240	I have to pay 14,000.
513240	515200	But what about this?
516800	518740	I don't know.
519220	520620	It's not just neat.
520780	523740	If you have a color code, it will show you.
524140	526780	If you have a color code, it will show you.
527740	528400	If you have a color code, it will show you.
528400	528480	If you have a color code, it will show you.
528480	529320	Look, bro.
529740	530780	Minimum of 2.
532060	534780	Then left-side calculation, right-side calculation.
535600	537500	1-2-3, 1-2-3.
537600	538680	Minimum of 2.
540540	541020	Yes.
541020	543080	Yes, it's correct.
543700	544640	Minimum of 2.
545120	545880	Okay.
546660	547400	20%
547400	548200	Yes, it's directly.
548200	548720	That's the limit.
548940	549840	Yes, that's the limit.
551580	553160	Yes, then keep this much.
554060	555260	And the second one is this.
560330	564370	First, this is 25.
566410	569270	Then this is 1 lakh.
570790	571810	And the third one is this.
571810	571890	This is 1 lakh.
