start	end	text
3320	15320	So this is a review of the website between two co-founders, 15th August, 2026, and we are looking for every issue that we find over here.
17160	31500	First thing I see in this top block, which has the Get a Fair View of Home Loans, this text, is that the amount of spacing above this text and below the CBE is not even.
31500	38500	It should feel like the text and the button are in the center of this entire block.
40640	44740	Your video looks good, video view code, video padding, everything looks good.
46700	48920	This is our photo, isn't it?
60940	71580	In this section, I like the coherence of the story. We have completely re-engineered your journey.
73000	75560	The entire market sits so you can compare.
75560	83480	You can decide before giving your phone number, and you pick and they complete for you. I like this.
83840	91780	But I feel we can convey the same amount of information using a lot less words by keeping the English polished still,
93160	98560	and also by consuming a lot less context or brain power of the consumer that is reading it.
100320	112260	So somewhere, what I feel is a sentence shouldn't be too complex in a way that it has multiple phrases.
112680	116140	It should be simple, one subject, one predicate as much as possible.
118700	125720	So if you look from that lens at all these sentences, we can definitely optimize quite a bit over here.
125720	130820	The first sentence looks good to me. We've completely re-engineered your home-grown journey.
132560	138440	Now the entire market sits in one standardized view build so you can cross-examine. This can be simplified a lot.
138620	146800	Something like, see the entire market in one comparable view.
153400	168440	We have something like one standardized view that helps you compare rates, rules, and fine print across the entire market.
171080	175000	The next one, you can look through every lender before you give your phone number or email.
175620	181820	So this before you give your phone number sounds a bit crude to me. This can become polished English as well.
181940	189060	Something like before we ask you for your details or before you are asked to surrender your contact information.
189900	193780	Before you need to give up some information or something of that sort.
194840	199860	And the next sentence, you pick your banks, apply once to all of them, and they compete for you.
200280	203060	Again, it fails my test of being a simple sentence.
204580	217870	So an example of a simple sentence here would be, choose your pick and apply in one shot, let them compete for you.
222480	226880	Pick your banks and apply in one shot, and let them compete for you.
230700	235340	Apply in one shot to your entire selection, and let them compete for you.
235520	236500	Something of this sort.
240830	247450	I have noticed one more issue. I keep scrolling, but it takes me a bit of time.
247990	251230	No, there is no such problem. There is no such problem with scrolling.
256480	257780	It is just a matter of time.
260060	260700	So...
260700	264280	We have to do it this way. We have to act as a cursor.
265640	267060	We have to act as a phone.
269080	270420	Yes, we have to act as a text.
284700	287480	Transparent like never before, I like this.
288140	292080	So you find what works for you, I don't think it adds so much value.
292340	295780	And with no surprises, I don't think it adds any value at all.
296600	302600	Let's find some sentences that add value, or let's skip this section entirely, or redesign this section.
309180	314740	When I scrolled down to this section, I saw two zeros on the screen.
314740	320800	And I had no context of what is going to come up. In fact, I felt that the website was broken.
321480	325920	So either it can be zero commissions that appears first.
326980	329300	And zero bias that appears later.
330300	334300	Or it can be just the first zero that appears first.
334860	337000	And then as I scroll down, commissions.
338300	340780	And then as I scroll down, even more bias.
341600	343300	Or something of that sort.
344740	346760	Zero commissions, zero bias.
347480	350460	So you get a fair view of every lender listed on our platform.
363450	368190	I definitely like the whole intent of this page, which is to showcase that
369550	371810	we are an independent platform.
372150	375310	We don't take commissions from anyone to push them.
375430	378090	And we don't have inherent bias towards any bank.
378090	386570	But this zero commissions, I don't think it comes across easily to the customer.
387470	392670	I don't think as a customer, I will easily understand what commission means over here.
393470	396790	I might feel like a customer has to pay no commission.
399500	403760	As a customer, I might feel like they are asking no commission from me.
404060	407120	Instead of thinking that they are earning no commission from the bank.
408080	412340	So I want some change of words over here.
412760	418600	Zero bias sounds good, but it should apply in the same context.
420580	426560	So zero commissions from the perspective of website to bank.
427300	431640	And zero bias from the perspective of website to customer.
433560	435760	But perspective should not shift.
438700	443820	The perspective, largely we want the perspective of website talking to the customer.
447280	452400	So keeping this perspective in mind, customer will always while reading the website,
452600	455240	think that the website is talking to them.
457360	463380	Now keeping that constant, how do we show that website does not earn anything?
464260	468260	Website has no bias and website does not push anything.
469240	474980	Find better words or better structure or better way to imply the same.
477180	479980	Without letting the customer know that how do they earn?
479980	484340	So that they don't question how they are earning.
488660	489760	Why? What is the problem?
494040	496920	Most of the people think that we don't earn, then how do we earn?
498140	501720	After hearing this, we don't earn anything, we don't believe that how do we earn?
502200	503580	So without trust, we earn.
504560	506180	Sometimes companies earn.
506800	509400	If they don't think so, then how do they earn?
509400	510420	Do you earn for free?
510420	512880	They don't think so.
516120	519740	Otherwise, how do they earn money?
520340	521500	Do they sell data?
522120	524120	I think they have some kind of trust.
525740	527900	I had kept that in mind.
530920	532760	There is no word for pay on the listed platform.
535260	536080	That we don't have to pay the bank.
540420	545560	There can be zero commission, zero pay cuts.
