start	end	text
7830	16290	For every type of audio charge, I need a drawer and I need a calculation in the drawer.
17370	22930	Because I need to know how much extra money I need for a month if my one EMI is missed.
22930	26030	So I need to know how much extra money I need.
27030	30210	Because some banks have a 24-step bank.
31750	32850	I need to know how much extra money I need.
35610	41530	Even before taking a loan, I need to tell the bank to not take this bank.
42370	46430	If it has a 0.1% interest rate, then take that bank.
46850	50670	But don't take this bank, because if even one EMI is missed, you have to withdraw double money.
51730	54330	This is also a part of the intelligence.
54730	59670	I need to know how much extra money I need for a month if my one EMI is missed.
61950	63770	I need a drawer like that.
64510	69350	And I need to know the underlines. I need to click them and do the calculations.
73930	77410	We need to put labels on the bank.
78010	80230	For example, Jammu and Kashmir Bank.
80230	86430	It is one of the least penalty for EMI misses bank.
87430	93030	And Indus land bank is one of the highest penalties for EMI misses bank.
94670	95950	We need to tell this to the intelligence.
105870	107530	Interest rate is extraordinary.
109430	111690	We also need an overdue charge and EMI bounce charge.
111870	112970	We need to fit that into the calculations.
112970	114270	We need to fit that into the calculations.
114310	119170	If we click on the overdue charge, we need to do the calculations.
119490	122750	If one EMI is missed for a month, we need total extra money.
122950	124630	Including EMI bounce charge.
129970	132850	We also need this intelligence, which is already visible here.
