start	end	text
1370	3750	How does a product look like when it is given in the starting?
5310	7650	Suppose this is the sentence.
9090	12050	Now the entire market sits in one standardized view.
13030	15130	Now I have skipped this video and come down.
16630	20250	And I am watching the video, so I don't have to tell it.
20770	21930	That it sits in one view.
22190	23870	Okay, you can tell it.
25270	26170	But what is this?
26890	28150	You have to see it there only.
29210	30610	I can see the standardized view.
32410	34630	So let's put a plus button there.
35130	36210	No, there is no plus button.
36350	36830	There is no friction.
38510	40150	What you have to do is...
41690	43190	Oh no, why are you making it so complex?
45170	49350	In the background of the section, there will be...
49350	53750	There will be an Excel sheet.
54490	55390	It is light in the background.
56050	57350	And one standardized view.
58370	60230	I can see the view from the back.
60330	62210	But it has been shown from the top.
62690	63630	So it will be seen.
64390	64770	What is the problem?
67210	68290	And there is the same problem.
68710	69690	It can be cancelled.
70250	73450	Basically, I feel that the standardized view...
73450	74710	And I don't want to be scammed.
75590	77530	Their visuals are also there.
78370	79510	So should I put something there?
80870	81690	No, no.
82050	83350	No, there is no clicking.
83350	85910	The thing is, I have paid more attention to the wording.
85910	86750	I have paid more attention to the graphics.
87130	88370	I don't want to make graphics.
89710	91810	The wordings are made immediately.
92270	92710	No, no.
92950	95190	Actually, let's not talk about this section.
96050	98830	In this section, there is a unique point at the bottom.
99150	101930	Help towards what you need.
102870	106150	Guides that walk you through a home road.
107950	109110	So this point...
109110	111590	I relate this point to that point.
111590	114010	I relate this point to that point.
114010	115450	We bring everything to you.
116170	117670	You do it in front of you.
118570	119930	We don't ask for help from you.
121450	122810	This comes down to that.
122950	123630	Guides.
124430	124970	We make a guide.
126170	128190	Every bank's home loan in the same way.
128650	129830	This goes to the point of standardized view.
130690	131550	This goes to the point of standardized view.
132570	134130	Browse before you give your number.
134470	135310	This is also the same as before.
136510	137910	One application is also covered.
138750	139590	And this is the same as before.
140690	142110	You can do it yourself.
142530	143350	You can ask us.
144170	145950	But you have to do it yourself.
146350	147570	I haven't said this for a while.
150030	151830	I think this is the seventh
152310	153550	unique point
153550	155810	that we want to convey.
156510	158210	So here we found
158210	159590	some supplementary
160410	161810	information that we
161810	164130	want to add on to the six unique points
164130	165070	covered before.
165730	167910	And we found a seventh unique point
167910	170270	that we want to convey to the customers
170450	171990	which is help
171990	173610	towards what you need.
174370	175490	So this sentence
175490	176230	what does it mean?
177610	179170	I wanted to say it because
179170	180270	I was feeling it.
183770	184570	It's nice.
184950	185650	It makes you dance.
191150	192950	This is also
192950	193850	the same as before.
194210	194810	The same as before.
195730	197210	And what is this video?
197410	197690	Yes.
201250	202490	It's a word that you can scrap.
205590	206950	Because these two
206950	207710	are in the lower section.
208930	209610	This is the first one.
210010	211290	The other one is the new one.
214670	215350	Okay.
217290	218630	Let's scrap this
218630	219570	section as well.
219950	221810	But it's scattered everywhere.
225070	225750	Sorry.
225750	227750	I don't know if you like it or not.
232860	233920	We can use this word
234680	235240	somewhere.
237100	238700	Maybe scattered information is
238700	239720	consolidated here.
243300	244540	Let's see
244540	246300	what kind of word it is.
246980	247920	Because
248680	249880	we don't want to get carried away.
250180	251300	We want to convey only one information.
251940	254020	Standardization, scatterization,
254540	255020	consolidation.
259040	260980	We are not writing an essay.
265560	266480	This section also
266480	268020	let's get rid of it.
268880	270700	This section also let's get rid of it.
270700	272840	Just pick important, this unique point
272840	274820	from here. And supplementary
274820	276980	information of other unique points from here.
278080	278720	And let's
278720	281260	refactor these four dark sections.
282060	282840	To convey
282840	285060	those seven unique points
287320	288680	in a
288680	289880	coherent manner.
290700	292500	With very few words, polished
292500	293460	English.
294880	296400	Such that points flow
296400	298320	into each other. And then
298320	300600	let's refactor into how those seven
300600	302760	points get distributed across
302760	303980	n number of sections.
314090	314430	This strip
314430	315030	is very big.
323340	325000	This strip is nice.
325000	326800	This strip is nice.
328920	331000	But I think
332600	334700	this padding above it,
334700	337000	padding below it is
337780	338940	causing some issues
338940	341140	over here. If it was
343520	345020	sticky to the
346040	346880	footer.
348180	349300	This footer
349300	350680	has a big heat strip.
351420	352940	If this padding section
352940	354620	itself was the strip.
356040	356860	And then everywhere
356860	359020	there is footer, there is this strip
359020	361320	on top of footer.
361320	363200	Basically, space is reduced.
363420	364380	It is the same for everyone.
364860	366120	Only space is reduced.
368780	370000	This was before.
