start	end	text
19070	21830	It is not a problem.
22930	23930	It is time duty.
28820	30000	What is the yellow or space?
30360	31340	Notice of information.
32460	32780	What is this?
34340	37180	This is the same. You have the same screen information in the same card.
41120	41840	How do we assume?
42920	43960	This information is the same.
44540	46100	How would you know if the information is in the card?
51510	52810	It is time duty.
52810	55590	And  beregistration.
56170	61090	They must have taken just one breath in front of their born is 1,2,3,4, 1.
71960	73560	Government spews law enforcementů
76100	81560	It would be a shame if  laying down the world in front in front of government spews law enforcement team.
83780	102460	Nobody actually lives even if they are known under the ire of the ire.
102760	104840	Unfortunately, ire is spread.
111010	113190	Those ire people in general arla have завdar met.
113190	115190	Let's go to the main topic.
191070	191650	Oh my god!
192170	193210	There are many complexes.
194890	195550	Let's see.
196870	198230	Floating to fixed.
202200	203940	And the low notes are floating to fixed.
204340	204660	It's simple.
204980	206400	Let's go to the next one.
206400	210420	What is this?
210420	211020	What is this?
211020	211540	You have to change the rate.
213480	215080	But the vapor rate doesn't change automatically.
215540	216040	That's different.
216200	217540	If you have more civil,
218500	219820	you can go to the bank
220320	221520	and tell them that you have more civil,
222120	223380	change the rate or else I will go to you.
224920	226360	Then you change the rate.
227040	228400	This is also intelligence.
229540	230000	To save money.
231220	231960	You can say that
231960	233420	if you take so much of your civil,
233420	234720	you will get a loan.
235380	236840	But you have to increase it.
243940	244620	Benchmarks.
244660	246100	Some people give benchmarks.
248700	249380	MCLR.
250320	252040	Marginal Cost of Lending Rate.
253080	254240	This is a vapor rate benchmark.
254960	256260	This is MCLR benchmark.
256880	257980	This is also a benchmark.
258980	260200	You can shift the benchmark.
261360	262520	Generally people don't do it.
262740	263520	But there is an option.
264500	266420	Vapor rate is the ultimate.
266420	268640	Fixed rates are mostly MCLR.
271060	272840	Fixed rates are risky.
277420	278940	What is the full form of MCLR?
279360	281560	Marginal Cost of Lending Rate.
283760	285080	Who decides this?
285520	287720	The marginal cost of the bank
287720	289420	is the rate of lending.
289840	291300	Then they cut the marginal cost.
292420	293100	They take that.
294820	297420	You don't borrow, do you?
297420	302260	No, I don't.
302600	304140	There are many such cases.
304560	305700	The rate of libor.
308980	310100	London...
310100	312060	Institute of...
312060	312900	Of rate.
313880	314960	They take out the libor
315660	317160	and do the iBOR.
317560	318180	Mumbai.
319500	321380	They take out the rates of the banks.
322280	323120	They take out the benchmarks.
323120	325120	They take out the iBOR.
327040	328880	There is a private...
328880	330580	There is a bank of their own
330580	331740	and there is also an ABI.
334740	335820	There is a standardised
335820	336500	private market.
338520	339640	They don't judge it.
339720	342160	What is the customer's risk?
342940	344000	It is the cost of sleep.
348060	350940	It is the cost of sleep.
350940	354460	It is the cost of sleep.
356080	358240	I don't even know this.
378070	379250	Where is it?
380490	381230	What is it?
381790	382170	It is simple.
384330	386070	There are some things
397210	399670	This needs to be a lot simpler.
400190	400970	There is a legal language.
403090	404750	Somewhere it should be like
404750	405770	there are
405770	408570	3 to 4 ways bank calculate rates.
408770	410070	Either they depend on
410070	411790	RBI or
411790	414070	they have a consortium
414070	415750	of private banks
415750	417850	or they have their own individual
417850	418530	calculation.
419910	421370	Usually RBI
421370	423850	is most preferred and most
423850	426010	common. If you
426010	428010	want these type of facilities
428010	429990	you should go for this type
429990	430430	of.
435440	437280	Should feel like an advice
437280	438780	coming from a lawyer
443140	444360	instead of
444360	446240	just technical terms and legal
447060	447940	words.
447940	454170	What is 5%?
458250	459130	What is it?
459130	459690	What is it?
460230	462230	What is it?
490850	491350	What is it?
491350	493170	I need a calculation
493170	493690	here.
494170	495410	This does not have a calculation.
496530	497990	No, you have to show
497990	499610	how an overdue is made.
499750	500730	I want to know
501510	503050	should I overdue after missing
503990	505890	And how much money should I overdue?
506590	508790	And how much charge should I get?
511090	511810	And
511810	512590	how many days
512590	514270	should I send notice?
516150	517310	And how many days
517310	518370	should I get a collection agency?
521110	521950	I don't know.
525170	525470	I don't know.
525730	526610	I don't know.
526610	528210	I am just saying that I have missed
530090	531150	You should know something.
532910	534530	There is no monitoring value.
534690	535090	It doesn't matter.
535470	536870	Show me the calculation.
542380	543380	Calculation means
543380	544580	I can put the data on top of
544580	545520	my calculation.
545680	546220	Why?
549300	551180	You should
551180	552580	not
553100	553920	No, bro.
554080	555340	How did you get 2%?
555900	556620	You have written the annum.
557500	560300	But I put a total amount in the next month.
561180	562180	I have not used
562180	563500	the money for an annum.
