start	end	text
0	3940	So we have to drop down so that the form doesn't get too big.
4640	7820	Correct. But actually these things have to be affected.
8240	11020	And now what happens to me, I applied for a credit card.
12080	12820	So I get rejected.
14540	17880	When my decent salary, best score...
17880	18500	You get rejected.
18560	19360	Yes, I get rejected.
19600	21440	I don't even get the Scapia, HDFC card.
24300	25780	Because they are looking at my education.
26820	27240	Okay.
27980	29980	And I don't know what happens to me.
30280	31520	But now I have to apply so much.
31780	32460	Oh my god!
38600	41000	I get card to card, but I don't get such a card.
42160	44920	Because this existing EMI is a big thing.
45620	47200	And this is also one thing.
47540	49820	Debt to debt utilization ratio.
49820	51180	That's what it's called.
51180	53500	Fixed obligation to something.
54020	55000	Yes, correct.
55000	55800	Correct.
56940	57280	Correct.
57780	58940	That's why your EMI is not fixed.
59020	63480	That means if I get a surprise later, I will lose my trust from the website.
64260	65380	But you will lose your trust.
65660	67580	Yes, but I have to think about something.
71750	72530	Bro, nothing.
73090	75150	This is all mandatory.
75390	76450	But I have to do everything.
77510	77790	Already.
79350	80690	This is it.
82370	85330	Yesterday, I didn't want to give ideas to any applicant.
86670	86970	Because...
87270	88510	I don't want to give ideas to any other applicant.
88970	90170	Oh my god!
90950	92670	Because it increases the loan amount.
97880	99380	Brother, please give me the fixers.
100340	101840	1, 2, 2, 1, 1, 1.
105460	106020	What do you want?
106800	108460	Brother, I want to know who is going to pay the rent.
108760	109700	Whoever is going to pay the rent.
112060	113000	That's why I didn't come.
113000	115280	That's it.
