start	end	text
1210	13590	What we need to do is, instead of adjusting the availability, we need to show the columns here.
13930	16510	Directly. There are only 4 columns here.
18870	19430	5 columns.
19930	20990	It will be a big challenge.
21550	23030	We have to show the culture.
23330	24890	See how big it has become.
25230	25990	It has become so big.
25990	29210	We have to show the banks.
29330	30310	We have to show the banks and intelligence.
33710	37950	And this is mostly the case that the customer does not ask for the bank.
59050	65670	These are basically optional columns that we want the customer to fill or not fill.
66330	67530	But if they don't fill, they can't go.
67710	68570	Why do they have to come here?
69450	70910	It makes a big difference.
72590	74990	They have to decide their loan amount.
76890	77270	How much is the EMI?
77670	78850	They decide everything.
81150	82570	Then why is there no mandating?
83830	85490	Because the formula is getting bigger.
87310	88890	There are so many questions.
90070	94470	And on such a basis, everyone has the same amount.
94490	95630	That is, the expenses.
97390	99250	Existing EMI is very less.
99250	101390	That is, it is not for everyone.
102090	103670	The credit card limits are not for everyone.
104390	105850	But everyone needs the upper limit.
106670	107570	This is the share of income.
107810	108750	This does not belong to anyone.
109150	111090	But everyone differs according to the bank.
112190	114670	No one on the 10-year side says that I want the 15-year limit.
115590	117410	This co-applicant is not for everyone.
117750	119170	How does this co-applicant make a difference?
122090	124890	In general, people only fill the upper limit.
125890	127770	And if it is more, then it is more.
133070	135470	This guy is playing a song.
