start	end	text
4090	7450	Explore banks and the product.
8590	9930	Which one is faster?
11170	11650	Reduce.
11930	12390	Let's try.
13870	14710	Why?
15070	17510	You can see it clearly even if you just open it.
18470	19690	I have already opened it.
19950	20750	Don't tease me.
34490	35330	Nice.
37370	38210	Nice.
39110	40770	Dark to light of the night.
40910	41550	It looks like a movie.
44250	44670	Nice.
44670	45950	Nice.
58920	60900	Are these values pre-populated?
63540	65220	Did you just put them in?
65860	66760	They are already there.
67260	68220	This is how it is.
69280	72400	If I open this page, I can directly click on it.
72500	73080	Perfect.
76080	76800	Perfect.
86350	87530	Is this the product name?
87830	88710	It is the name of the team.
89150	89890	Nice.
89890	89910	Nice.
97240	98680	This is how it is.
100220	100860	Nice.
106220	106840	Do you know how to do this?
107640	108120	There are two buttons.
108120	108580	Public and private.
111960	113040	What is this?
113900	114900	You have given an all button,
115220	117000	a public button and a private button.
117580	118100	Instead,
119540	120680	Public and private.
122140	124300	Both are ticked by default.
127800	130680	All is not a separate filter.
131100	134840	Both of these filters are chosen by default.
138420	138980	What is the difference?
139740	141420	Why do we need a button?
143320	145020	This is Apple's button.
147220	149580	I feel the same when I press and hold one button.
149600	151300	I feel the same when I press and hold one button.
156920	158680	I feel the same when I press and hold one button.
158680	159140	I have seen this.
159540	161880	I have seen this on Amazon.
162920	163300	I have seen this everywhere.
164200	165580	But this button...
165580	167280	I am a little confused. What is this button?
168580	169780	All the checkboxes.
170320	170700	Yes.
171600	172400	It is very easy.
177620	180300	Instead, public and private.
180980	182580	Both are selected by default.
183180	183900	All.
184300	185980	All is not a separate selection.
187020	188820	And the weight is also the same.
188860	189860	Floating is fixed.
189960	191820	Floating is selected by default.
192120	193120	Why do we need a separate button?
197560	199200	And the same here.
201640	202440	Then,
202980	203600	it becomes uniform.
205420	205900	This block.
207180	207340	So,
208340	209740	these filters
209740	210900	make a little gap.
212240	213620	And this gap
214140	217640	makes you feel
217640	219340	that this is the heading
219340	220580	of your section.
221420	223580	And this is the subheading of this section.
224080	225620	And this is the subheading of this section.
226140	227560	And it works.
228160	228580	It works.
229380	231180	These gaps actually work.
232560	234080	But there are no such checkboxes.
234220	235460	There are many even widgets.
241870	243650	Does this happen when you open it?
244210	245950	It happens when you click from your mobile.
247110	247570	From the desktop.
274580	275380	What is the matter?
275380	276260	What is the matter?
277760	279100	What are the concessions?
280720	281620	What are the concessions?
282080	283380	What are the concessions?
284920	291130	What are the concessions?
291130	292550	First name on the property
292550	294330	means index 2 is the first.
298830	299470	Means,
299610	301710	there can be multiple names on the property.
302270	303590	She has to be one of them.
303710	304590	One of them.
317590	318570	Nice, bro.
322330	323230	Nice, bro.
325830	327210	Is this blue?
330920	331720	No back.
332320	333280	Where is the back?
336980	337960	This is mobile.
359480	361580	She has to be an individual.
363400	365160	You shouldn't take this to someone else.
371300	373560	Write in the concessions
373560	375740	that this is not the case.
375740	377940	You can get 0.05
377940	379280	to 0.3
379280	380980	or 0.2
380980	382720	means you can give them the entire range
383520	385060	of total discounts.
386960	388000	And some concessions
388000	389740	can even stack up.
390600	392020	Like woman and greenhouse.
394700	395980	But each of
395980	397800	these options also need
397800	399100	to have their own eye
399740	401960	information. Because
401960	403560	why take it to someone else?
410270	412170	Because I need to know
412170	414470	what insurance concessions are.
416890	418510	And you don't even need to write
424250	430960	Not even here.
431560	432700	The public has it.
434140	435300	Usually
435300	437800	the public application process
437800	439440	is a little difficult.
439440	441100	It is difficult.
444640	445540	Complete service
445540	446640	end-to-end service is
446640	449260	not good. But
449260	450100	the rate is 0.5.
451340	452000	Private
452000	454200	service is not that good.
454920	456420	But the rates are not as good as public.
457200	459140	Processing fee is also not that good.
461140	462120	Tell me
462120	463220	what should I select?
464620	467300	And you keep both of them selected by default.
469820	471460	Same here. You tell me
471460	472840	the trade-offs here only.
473020	474820	Why I should select each of them?
475760	476880	For floating and fixed.
489280	490040	What is an order of
490040	491020	an order of facility?
495320	497300	There is a normal loan
498260	498940	which is linked
498940	500460	to your savings account.
502020	502940	If you have
502940	505240	taken a loan of 20 lakhs
505240	506260	in the savings bank
506260	506500	and you have kept 5 lakhs
506500	508900	in your savings account,
509500	511680	you need interest of 15 lakhs.
511900	513680	And you can take out 5 lakhs
513680	514840	or you can keep it.
517420	518120	But
518120	519880	it gives you liberty
519880	521320	to keep your extra money
521320	522600	and take less interest.
523560	524440	But you have to pay more
524440	525720	than 0.25 interest.
527660	528600	Those who have a lot of cash
529950	531000	and want to keep the money,
531320	532320	they can keep it there.
532320	534080	I don't have any other option.
534340	535400	Nice, nice, nice.
535660	537620	You should explain it like this.
538760	540040	We should learn this.
540280	540920	It is very important.
