start	end	text
10040	13220	It's a good idea to clear this.
13320	15280	Do you have a button for this?
15340	15720	I don't know.
15920	16840	Everyone has a button like this.
17480	17700	Okay.
19800	20600	I accept.
21460	22360	These tabs are the best.
25600	27640	Columns belong to this tab.
28040	28860	The one that has UX.
29620	31760	And the tabs that have been switched...
32650	35700	The one that has a chrome tab and the one at the bottom.
37240	38220	The one that has animation.
39920	41540	This one is the best.
65930	67250	We have seen a lot.
77400	79880	I definitely like this button.
80320	81680	Up and down.
86570	87590	What is this?
88590	89910	I will give you a loan of Rs.99.99.
90150	93650	I will give you a loan of Rs.7,99.
102000	103960	They have a fixed rate of Rs.10.
104320	105220	What is that?
106140	107580	There are age restrictions.
108460	109340	The max is 30.
110000	111220	But if you are only 50,
111720	113460	then you will get a loan of Rs.5,000.
114020	115680	Then you will get a loan of Rs.15,000.
116680	118540	You will get a loan of Rs.20,000.
127000	130040	They have taken an exact amount without a star.
130960	132520	8.7, 8.8.
132620	133780	This inspires a lot of confidence.
134740	136500	This guy knows what he is talking about.
138340	139660	8 star.
140640	141500	So I will put a star.
142720	143080	In charges.
144420	145560	Charges are okay.
146160	146440	Okay.
148260	150140	At least stand behind something.
151160	153340	This is true. I stand behind it.
153340	156240	I don't know if this is a star or not.
162870	163730	Okay, wait.
175300	176060	Lenders.
176460	177900	Lenders is a good word.
178720	182240	You can put lenders everywhere instead of banks.
182240	182680	It's okay.
192470	193270	It's okay.
195650	196450	Beautiful.
197410	200690	Apply should come here on top of these checkboxes.
212030	216050	This sentence, data last checked on, is not correct English.
218950	220870	Just make it good polished English.
230010	232310	Something like maybe
232310	237550	Accuracy guaranteed or updated as of.
258220	259880	Like this.
261920	262040	No.
262040	262900	Navani is sorting.
264140	265220	He doesn't give any answer.
266860	267720	Navani is sorting.
269340	270500	No, I should.
271180	272180	Because what else can I do?
272640	276680	I want to see if you have done a perfect bank.
276680	278740	Are you going to jail?
280700	283260	Suppose there are 25-30 banks here.
283760	284840	And I want to search for SBI.
285000	285840	Then how do I search for it?
287760	290260	I was going to search for it.
294640	295160	But...
295160	295480	What's the scene?
295760	296360	Let's see the rate.
298220	299640	Let's see the floating slip.
300520	301200	What's the scene now?
301460	302180	Scroll down.
303160	304760	We were only showing them the previous 10.
305720	307540	If we control the search,
307860	309380	the SBI doesn't look nice.
309940	310740	If we click on it,
311000	312220	the SBI will come down.
313620	314880	That's my cognitive load.
315120	315860	I don't want to show the survey.
317480	318960	When it opens,
321280	323160	by default, the rate is sorted.
323500	324280	Lowest to highest.
324780	326140	Rate is the main thing.
329990	332150	It's like a search symbol.
332530	333250	You can search.
334070	334970	You can get it.
335370	337070	But who will search the bank?
337770	339170	Control F will hold it.
343970	344610	Okay.
345850	346050	Okay.
383700	385320	More details.
387060	388160	Skiing lane.
392600	394280	Left side floating wall.
394580	395280	Cutting loop A.
397480	398520	Eligibility.
399220	406380	How will they anticipate it?
406700	410100	Markout, discount, interest rate.
416280	417680	Discounts.
420880	421640	Okay.
422320	422600	So,
424520	425220	everything
425560	427040	doesn't go in time.
427040	429180	All the information
429260	431340	All the inputs go in time.
432380	435140	All the information goes in time.
436140	436740	So, that means
436740	437040	it's free.
438720	439600	Yes.
440780	441600	Everything is free.
443820	444780	Everything is free.
445640	447440	Everything is free.
448800	450060	Everything is free.
452800	454600	If you want to open it,
454600	456000	there is no discount.
456280	457460	It's all free.
458360	459360	Everything is free.
461360	463130	Let's think about it.
464200	465840	Let me put
465840	467060	charges.
469620	470100	Let's see
470100	470980	charges.
474400	475520	Other charges.
477920	478320	Nice.
478940	479600	Nice.
481400	481960	Nice.
485270	486110	So,
486590	487970	you have covered the charges.
488170	488830	Not all of them.
489590	490630	The rest are not important.
491550	493230	Like, loan document, copy charges,
493330	495870	something like that.
497190	497910	They are important.
498750	499630	You can read their money.
501150	502730	These are mostly
502730	504070	written reports.
504210	505110	I mean,
505450	507690	if requested, like on request.
518460	518800	Nice.
519320	520140	Nice.
530510	532010	So, basically,
533210	534070	what I see
534070	535150	on the table,
535950	537330	I see it on one page.
538130	538610	About that bank,
539450	539950	column by column.
540310	541370	You liked one bank, right?
542010	543830	The bank of Maharashtra is right there.
544410	545830	You can see everything there.
546570	548130	This is vertical.
549330	550170	This is horizontal.
550610	551410	This is vertical.
552290	554550	There are more details.
