start	end	text
730	2290	How is it going?
2510	3110	Yes, it is going.
6970	9410	Yes, I am formatting it nicely.
9970	10890	I have cracked all the Amazon links.
12690	13910	You have to pay so much for a PM.
16830	18210	When we searched, we thought,
18210	19630	what is this Amazon link?
20110	21290	The amount you have typed,
22210	23930	you keep the normal font weight.
24310	25470	The type that you are going to type,
25570	27230	you keep the extra font weight.
29090	34030	You have studied it well.
55550	55830	Why?
57030	58010	Should I give him a drop down?
58870	60030	You can select it.
63290	66290	You can also give me
66820	69250	a minimum, a maximum.
69510	70010	You have to give ranges.
70710	71870	You select minimum.
72630	73690	A maximum of 750.
73950	75150	A maximum of 780.
75290	76310	You don't know it.
76630	78190	You have it in you.
79170	79910	I have to give him both?
80890	82410	Yes, you have to give him both.
84590	86390	I want to know it accurately.
87030	88230	Why are you doing this?
90150	92330	You have to take one and drop it.
92730	94910	You have to keep the minimum compulsive.
95270	96090	We have to give a maximum of two.
97890	99330	You can also recommend a maximum.
99330	101710	Minimum if he gives 750,
102490	103430	you have to give 750.
104450	105890	And if he gives a maximum of 800,
106690	107950	you have to give a range of 750 to 800.
111410	113630	So when he gives a minimum of 750,
113950	116030	he doesn't think that I have kept a minimum.
116710	118530	Then the extra will come to me.
118930	120330	Then he will give a maximum.
125940	127480	Then I have to give a maximum?
128180	131340	No, he will think that my rejection is more.
133080	134000	If he thinks that my rejection is more,
134000	134400	then he will give a limit.
134960	136060	He will give a minimum.
137560	141140	If he thinks that my rejection is more,
142240	143840	then he will give a minimum of 760.
147200	149160	If he gives a maximum of 760,
149160	151000	then I have to give him only 760
151000	152500	and not give him a maximum.
153080	154820	And if he gives a maximum,
154820	156620	then I have to give him a maximum of 760.
157660	159320	This is what I like.
164730	166870	You don't need to know your exact Sibyl score.
167130	167630	Do you remember anything?
168630	170510	Yes, I had around 700.
170910	171690	But it's okay.
171910	173190	680 to 700, I will give him.
175850	177390	When he gives a maximum,
177710	178430	he has to give a limit of 5.
179910	181290	If he gives a maximum,
181650	183390	if he gives a maximum of 760,
183970	185370	then the maximum can be 700.
186090	188570	In this case, we can't filter out
188570	189370	what the rate is.
189550	192010	We can't tell him.
192010	194890	Because the bank tells us
197570	199230	775 to 780.
200750	202270	But we have to show him
202270	202850	only one rate.
203450	205590	Which is the lowest rate?
205730	206450	On which basis?
209010	210410	Basically, if I
210410	211970	give a maximum limit of 25,
212550	214310	then our filter will be correct.
234070	235190	Do you know something?
236010	240250	If you show me
240250	241610	I will bring that score.
242470	244630	I have 3 months to go home.
248070	249390	I will find someone
249390	250250	to increase the score.
251050	252510	Show me what is possible.
256240	257000	Show me what is minimum.
258300	260060	I can't increase it.
261920	263620	I remember it was 700.
264100	265340	Now it might be 680.
266960	269500	I want to see
270200	270880	680.
271800	273920	But I don't know
273920	276560	how much it would be
277780	279440	What I see is
279440	280840	I will increase it by 20 points
280840	282700	and my score will be correct.
283800	284820	Then what will I do?
285300	287340	I will give a loan for 6 months.
287540	289460	And I will increase it by 20 points.
290760	291540	Then the table
291540	292720	will be empty.
294080	295360	Otherwise, the rate
295360	296980	will not be lower.
296980	298240	The civil score
298980	299920	will be 60.
300840	301180	Yes.
301660	307080	The repayment charge
307080	308340	and the self-fund
308340	309180	will be 300.
311380	313020	The balance transfer
313020	313780	will not change.
314380	315980	No, no.
316120	318780	I want 2 rates.
319320	320020	I want 2 loans.
