start	end	text
4800	7080	We need to arrange the viewers.
12440	15130	Step 1. Step 2.
15940	18760	If we can carry 55,000, we can do the next step 3.
22800	23630	Okay, okay.
24820	25400	Loan amount.
26190	27360	We are getting a lot of loans.
29760	31160	Bro, it's amazing.
31160	32460	It's amazing.
33720	35160	I'll just show you.
40370	42030	Basically, what is happening right now.
42490	45230	I followed 1, 2, 3, 4, 5.
46890	51110	So I don't know why the next step is useful.
51990	53990	And how to calculate this.
54090	56890	Now he has done into 800. What is 800?
56950	58650	I don't know.
59110	60550	And then 75.
60870	61890	Where did he get this?
63970	64570	Did he get it or not?
64750	65710	Or did he multiply it with 5?
66650	67370	Or did he multiply it with 55?
69990	71770	And then the credit card load.
72730	76050	But what is the load of this?
76590	79610	Total credit card limit across all credit cards.
80050	81570	And then they took a 10% load.
82150	83170	They took a load.
84990	86910	This credit card load came from that.
86910	90190	And then she said that you should do this.
90740	91830	Income allowance.
93970	95330	Into fire.
97230	99270	Minus existing EMI's.
100430	102610	Minus credit card load.
103130	106350	Is equal to monthly EMI eligibility.
107810	109210	And then finally.
109470	115410	Now you understand that the income limit is 68 lakhs.
115570	119090	And lower of these means you get 48 lakhs.
119250	120590	Sequencing should be done.
120590	122070	I need to follow all these calculations.
122070	124070	I need their names and labels.
125830	127950	I need to follow all these calculations.
128610	129210	It should be very easy.
130470	131850	It's okay if there is only one calculation.
132330	134670	But I need to think about how to do it.
167240	170900	Oh, I need to know that interest is monthly.
182720	186320	I don't know why I need to calculate the annual interest.
187740	190360	I need to know that after every week.
192660	193840	After every week.
193960	196320	The outstanding amount is here.
197240	199840	That rate is required for a month.
200420	201760	And then it is divided by 2.
204960	206180	Commodization table.
208100	209380	Is it running?
210440	214400	That's why I need to know that you have done principal PP.
217760	218800	And then interest.
233240	234040	I don't know.
234040	243020	I don't know.
243580	245020	Okay, I don't know much about this.
245460	247600	12 is divided by months.
248480	249200	It would have been better if it was written as months.
250140	252180	And then why is it written into?
252520	253800	What is 0.06?
255340	259220	Monthly interest rate into monthly interest rate compounded.
260590	264030	Is equal to 100% BMS short.
264250	265030	Good, good.
265210	266970	Very nice, very nice.
267650	268670	Very nice.
270170	273410	Nobody knows how EMI is calculated.
273650	274470	How it is calculated.
275530	276810	I don't know anything.
281330	283290	This is a revolutionary product.
285450	286910	I will not tell you.
287010	287750	You don't know anything.
300310	308430	All I know is that we don't have money in our house.
309030	309850	Very nice.
311550	312730	Very nice.
312850	316210	Who is telling me? I don't think the agent knows this much.
319690	321150	How is the loan amount?
321510	323010	I will show you the details.
326350	327090	They give us a system.
327810	329170	Or they give us details from our head office.
329170	330390	They give us details.
343050	343590	There is nothing like this.
344950	348330	I think if you click it, it will open immediately.
348550	351390	Then it will slide and select.
362900	364580	Very nice one.
368970	369650	Very nice.
371510	372790	Very nice one.
379060	381120	It is true that we don't lie to the customer.
381940	383920	We are here to empower you.
389410	390750	We are here to empower you.
402340	404000	I will take a screenshot of you.
427250	429170	What is Dash?
432210	433450	It is not Dash.
434750	437510	It is indexation marking.
437810	440170	I want to tell you an extra thing about it.
440430	442030	Dash is linking.
442030	445110	If you click on it, it will take you there.
445590	446410	Just notes.
447610	449210	What is it?
450290	451290	I want a star.
452270	453650	What does Apple do?
455970	459450	They keep the markings underlined.
459610	461170	So that they don't get confused.
461410	464050	If you click on it, it will take you there.
464690	466010	Dash might look long.
468390	470230	But there are a lot of them.
470230	473010	There are a lot of marks on Apple's website.
473190	475270	We have a lot of marks here too.
475890	479890	I will click on it and it will take me there.
480210	481590	But how does Dash help?
482290	484530	Dash says that this is a link.
488470	492310	It says that this thing opens into something.
492310	493310	To somewhere.
502590	503670	Nice, nice.
512730	513950	Actually there is an extra mark here.
514830	516350	There are a lot of indexes here.
517890	518930	There are three, right?
519610	520490	Yes, there are three.
520490	521670	And there are two stars.
522330	523350	There are two stars.
523350	524550	There are two stars.
524550	525670	There are two stars.
525670	528990	There are two stars.
